Symbol  ,Date    ,Time  ,Open  ,High    ,Low   ,Closed,,,,,
NIFTY_F1,20150907,14:30,7618.85,7619.05,7615,7615.15,23600,24003350,,,
NIFTY_F1,20150907,14:31,7615.05,7615.05,7605.05,7605.2,92900,24003350,,,
NIFTY_F1,20150907,14:32,7606,7609.65,7605,7605,60300,23989650,,,
NIFTY_F1,20150907,14:33,7604.5,7612.55,7604.5,7611.25,62950,23989650,,,
NIFTY_F1,20150907,14:34,7611.2,7611.9,7607.75,7609.3,53300,23989650,,,
NIFTY_F1,20150907,14:35,7610.3,7610.3,7595.1,7598.3,145625,24039550,,,
NIFTY_F1,20150907,14:36,7598.45,7600,7596,7599,87425,24039550,,,
NIFTY_F1,20150907,14:37,7598.4,7608.05,7598.4,7606.7,80525,24039550,,,
NIFTY_F1,20150907,14:38,7606.95,7608.7,7605.35,7608.7,26975,24084024,,,
NIFTY_F1,20150907,14:39,7608.1,7611.3,7607.05,7607.05,40975,24084024,,,
NIFTY_F1,20150907,14:40,7607.55,7611.05,7606.15,7611.05,28075,24084024,,,
NIFTY_F1,20150907,14:41,7612.45,7616.6,7610.4,7614.85,45750,24106224,,,
NIFTY_F1,20150907,14:42,7614.85,7614.85,7603.4,7603.55,57150,24106224,,,
NIFTY_F1,20150907,14:43,7603.1,7607.7,7601,7605.75,52325,24106224,,,
